Country or Area,Commodity - Transaction,Year,Quantity
Greece,"Total hydro production - Kilowatt-hours, million",2020,3440.303
Greece,"Total hydro production - Kilowatt-hours, million",2019,4050.895
Greenland,"Total hydro production - Kilowatt-hours, million",2023,443.5
Greenland,"Total hydro production - Kilowatt-hours, million",2022,466.65
Greenland,"Total hydro production - Kilowatt-hours, million",2021,432.6
Greenland,"Total hydro production - Kilowatt-hours, million",2020,430.5
Greenland,"Total hydro production - Kilowatt-hours, million",2019,408.81
Guatemala,"Total hydro production - Kilowatt-hours, million",2023,5601.14
Guatemala,"Total hydro production - Kilowatt-hours, million",2022,6970.26
Guatemala,"Total hydro production - Kilowatt-hours, million",2021,5646.243
Guatemala,"Total hydro production - Kilowatt-hours, million",2020,5966.263
Guatemala,"Total hydro production - Kilowatt-hours, million",2019,4496.824
Guinea,"Total hydro production - Kilowatt-hours, million",2023,2950
Guinea,"Total hydro production - Kilowatt-hours, million",2022,2938
Guinea,"Total hydro production - Kilowatt-hours, million",2021,2635.49
Guinea,"Total hydro production - Kilowatt-hours, million",2020,1484.414
Guinea,"Total hydro production - Kilowatt-hours, million",2019,1279.59
Haiti,"Total hydro production - Kilowatt-hours, million",2022,184.5
Haiti,"Total hydro production - Kilowatt-hours, million",2021,133.8
Haiti,"Total hydro production - Kilowatt-hours, million",2020,143.5
Haiti,"Total hydro production - Kilowatt-hours, million",2019,174
Honduras,"Total hydro production - Kilowatt-hours, million",2023,3208.08853
Honduras,"Total hydro production - Kilowatt-hours, million",2022,3882.6156
Honduras,"Total hydro production - Kilowatt-hours, million",2021,3765.217
Honduras,"Total hydro production - Kilowatt-hours, million",2020,2700.64
Honduras,"Total hydro production - Kilowatt-hours, million",2019,2430.08
Hungary,"Total hydro production - Kilowatt-hours, million",2022,178
Hungary,"Total hydro production - Kilowatt-hours, million",2021,212
Hungary,"Total hydro production - Kilowatt-hours, million",2020,244
Hungary,"Total hydro production - Kilowatt-hours, million",2019,219
Iceland,"Total hydro production - Kilowatt-hours, million",2022,14195.722
Iceland,"Total hydro production - Kilowatt-hours, million",2021,13803.999
Iceland,"Total hydro production - Kilowatt-hours, million",2020,13156.972
Iceland,"Total hydro production - Kilowatt-hours, million",2019,13461.466
India,"Total hydro production - Kilowatt-hours, million",2022,162499
India,"Total hydro production - Kilowatt-hours, million",2021,162441
India,"Total hydro production - Kilowatt-hours, million",2020,160909
India,"Total hydro production - Kilowatt-hours, million",2019,156049
Indonesia,"Total hydro production - Kilowatt-hours, million",2022,25013
Indonesia,"Total hydro production - Kilowatt-hours, million",2021,19580
Indonesia,"Total hydro production - Kilowatt-hours, million",2020,21624
Indonesia,"Total hydro production - Kilowatt-hours, million",2019,20435.41
Iran (Islamic Rep. of),"Total hydro production - Kilowatt-hours, million",2022,12619.435
Iran (Islamic Rep. of),"Total hydro production - Kilowatt-hours, million",2021,12267
Iran (Islamic Rep. of),"Total hydro production - Kilowatt-hours, million",2020,22075.5
Iran (Islamic Rep. of),"Total hydro production - Kilowatt-hours, million",2019,31087.469
Iraq,"Total hydro production - Kilowatt-hours, million",2022,2650.656
Iraq,"Total hydro production - Kilowatt-hours, million",2021,3345.8
Iraq,"Total hydro production - Kilowatt-hours, million",2020,4161.6
Iraq,"Total hydro production - Kilowatt-hours, million",2019,4963.3
Ireland,"Total hydro production - Kilowatt-hours, million",2022,948.206
Ireland,"Total hydro production - Kilowatt-hours, million",2021,1035.695
Ireland,"Total hydro production - Kilowatt-hours, million",2020,1224.218
Ireland,"Total hydro production - Kilowatt-hours, million",2019,1131.903
Isle of Man,"Total hydro production - Kilowatt-hours, million",2023,2.2
Isle of Man,"Total hydro production - Kilowatt-hours, million",2022,2.2
Isle of Man,"Total hydro production - Kilowatt-hours, million",2021,4
Isle of Man,"Total hydro production - Kilowatt-hours, million",2020,3.5
Isle of Man,"Total hydro production - Kilowatt-hours, million",2019,3.2
Italy,"Total hydro production - Kilowatt-hours, million",2022,30290.743
Italy,"Total hydro production - Kilowatt-hours, million",2021,47478.36
Italy,"Total hydro production - Kilowatt-hours, million",2020,49495.255
Italy,"Total hydro production - Kilowatt-hours, million",2019,48153.516
Jamaica,"Total hydro production - Kilowatt-hours, million",2023,110.72
Jamaica,"Total hydro production - Kilowatt-hours, million",2022,115.6
