Country/area,Technology,Year,Public Investments (2022 Million USD)
Austria,Concentrated solar power,2019,
Austria,Concentrated solar power,2020,
Austria,Concentrated solar power,2021,
Austria,Concentrated solar power,2022,
Austria,Concentrated solar power,2023,
Austria,Onshore wind energy,2019,
Austria,Onshore wind energy,2020,192.15
Austria,Onshore wind energy,2021,
Austria,Onshore wind energy,2022,2.78
Austria,Onshore wind energy,2023,
Austria,Offshore wind energy,2019,
Austria,Offshore wind energy,2020,
Austria,Offshore wind energy,2021,
Austria,Offshore wind energy,2022,
Austria,Offshore wind energy,2023,
Austria,Renewable hydropower,2019,
Austria,Renewable hydropower,2020,
Austria,Renewable hydropower,2021,
Austria,Renewable hydropower,2022,
Austria,Renewable hydropower,2023,
Austria,Pumped storage,2019,
Austria,Pumped storage,2020,
Austria,Pumped storage,2021,
Austria,Pumped storage,2022,
Austria,Pumped storage,2023,
Austria,Marine energy,2019,
Austria,Marine energy,2020,
Austria,Marine energy,2021,
Austria,Marine energy,2022,
Austria,Marine energy,2023,
Austria,Nuclear,2019,
Austria,Nuclear,2020,
Austria,Nuclear,2021,
Austria,Nuclear,2022,
Austria,Nuclear,2023,
Azerbaijan,Ongrid solar photovoltaic,2019,
Azerbaijan,Ongrid solar photovoltaic,2020,
Azerbaijan,Ongrid solar photovoltaic,2021,
Azerbaijan,Ongrid solar photovoltaic,2022,64.56
Azerbaijan,Ongrid solar photovoltaic,2023,
Azerbaijan,Offgrid solar photovoltaic,2019,
Azerbaijan,Offgrid solar photovoltaic,2020,
Azerbaijan,Offgrid solar photovoltaic,2021,
Azerbaijan,Offgrid solar photovoltaic,2022,80.6
Azerbaijan,Offgrid solar photovoltaic,2023,
Azerbaijan,Solar thermal energy,2019,
Azerbaijan,Solar thermal energy,2020,
Azerbaijan,Solar thermal energy,2021,
Azerbaijan,Solar thermal energy,2022,
Azerbaijan,Solar thermal energy,2023,
Azerbaijan,Concentrated solar power,2019,
Azerbaijan,Concentrated solar power,2020,
Azerbaijan,Concentrated solar power,2021,
