Country/area,Technology,2019,2020,2021,2022,2023
Cabo Verde,Onshore wind energy,,,,,
Cabo Verde,Pumped storage,,,,,
Cabo Verde,Renewable hydropower,,,,,
Cabo Verde,Solar thermal energy,,,,,
Cambodia,Concentrated solar power,,,,,
Cambodia,Marine energy,,,,,
Cambodia,Nuclear,,,,,
Cambodia,Offgrid solar photovoltaic,,,,1.52,0.02
Cambodia,Offshore wind energy,,,,,
Cambodia,Ongrid solar photovoltaic,0.23,19.12,30.99,,0.1
Cambodia,Onshore wind energy,,,,,
Cambodia,Pumped storage,,,,,
Cambodia,Renewable hydropower,,,,,
Cambodia,Solar thermal energy,,,,,
Cameroon,Concentrated solar power,,,,,
Cameroon,Marine energy,,,,,
Cameroon,Nuclear,,,,,
Cameroon,Offgrid solar photovoltaic,,0.56,0.35,0.05,137.57
Cameroon,Offshore wind energy,,,,,
Cameroon,Ongrid solar photovoltaic,0.72,37.43,0.18,0.78,2.92
Cameroon,Onshore wind energy,,,,,
Cameroon,Pumped storage,,,,,
Cameroon,Renewable hydropower,6.43,4.35,6.31,6.4,0
Cameroon,Solar thermal energy,,,,,
Canada,Concentrated solar power,,,,,
Canada,Marine energy,,,,,
Canada,Nuclear,,,,,
Canada,Offgrid solar photovoltaic,,,,,
Canada,Offshore wind energy,,,,,
Canada,Ongrid solar photovoltaic,,,,,
Canada,Onshore wind energy,,,,,
Canada,Pumped storage,,,,,
Canada,Renewable hydropower,,,,,
Canada,Solar thermal energy,,,,,
Central African Republic (the),Concentrated solar power,,,,,
Central African Republic (the),Marine energy,,,,,
Central African Republic (the),Nuclear,,,,,
Central African Republic (the),Offgrid solar photovoltaic,,,,78.85,0.25
Central African Republic (the),Offshore wind energy,,,,,
Central African Republic (the),Ongrid solar photovoltaic,53.02,6.72,,,0.4
Central African Republic (the),Onshore wind energy,,,,,
Central African Republic (the),Pumped storage,,,,,
Central African Republic (the),Renewable hydropower,,3.78,,,
Central African Republic (the),Solar thermal energy,,,,,
Chad,Concentrated solar power,,,,,
Chad,Marine energy,,,,,
Chad,Nuclear,,,,,
Chad,Offgrid solar photovoltaic,11.35,0.43,,159.11,0.29
Chad,Offshore wind energy,,,,,
Chad,Ongrid solar photovoltaic,11.34,12.64,21.11,,0.51
Chad,Onshore wind energy,,,,,
Chad,Pumped storage,,,,,
Chad,Renewable hydropower,,,,,
Chad,Solar thermal energy,,,,,
Chile,Concentrated solar power,,,,,
Chile,Marine energy,,,,,
Chile,Nuclear,,,,,
Chile,Offgrid solar photovoltaic,,,,,
Chile,Offshore wind energy,,,,,
Chile,Ongrid solar photovoltaic,,,,,191.66
Chile,Onshore wind energy,,,,,
Chile,Pumped storage,,,,,
Chile,Renewable hydropower,,,,,
Chile,Solar thermal energy,,,,,
China,Concentrated solar power,,,,,
China,Marine energy,2.01,,,,
China,Nuclear,,,,,0.03
China,Offgrid solar photovoltaic,,,,,47.92
China,Offshore wind energy,,,,,
China,Ongrid solar photovoltaic,0.99,62.03,,2.42,5.9
China,Onshore wind energy,0.09,0.34,,,
China,Pumped storage,,,,,
China,Renewable hydropower,,,,,
China,Solar thermal energy,,,,,
Chinese Taipei,Concentrated solar power,,,,,
Chinese Taipei,Marine energy,,,,,
Chinese Taipei,Nuclear,,,,,
Chinese Taipei,Offgrid solar photovoltaic,,,,,
Chinese Taipei,Offshore wind energy,,,,,906.56
Chinese Taipei,Ongrid solar photovoltaic,,,,,
Chinese Taipei,Onshore wind energy,,,,,
Chinese Taipei,Pumped storage,,,,,
Chinese Taipei,Renewable hydropower,,,,,
Chinese Taipei,Solar thermal energy,,,,,
Colombia,Concentrated solar power,,,,,
Colombia,Marine energy,,,,,
Colombia,Nuclear,,,,,
