Country/area,Technology,2019,2020,2021,2022,2023
Tunisia,Pumped storage,,,,,
Tunisia,Renewable hydropower,,,,,
Tunisia,Solar thermal energy,,,0.55,,
Turkmenistan,Concentrated solar power,,,,,
Turkmenistan,Marine energy,,,,,
Turkmenistan,Nuclear,,,,,
Turkmenistan,Offgrid solar photovoltaic,,,,,
Turkmenistan,Offshore wind energy,,,,,
Turkmenistan,Ongrid solar photovoltaic,,,,,
Turkmenistan,Onshore wind energy,,,,,
Turkmenistan,Pumped storage,,,,,
Turkmenistan,Renewable hydropower,,,,,
Turkmenistan,Solar thermal energy,,,,,
Tuvalu,Concentrated solar power,,,,,
Tuvalu,Marine energy,,,,,
Tuvalu,Nuclear,,,,,
Tuvalu,Offgrid solar photovoltaic,,,,,
Tuvalu,Offshore wind energy,,,,,
Tuvalu,Ongrid solar photovoltaic,6.53,0.05,,,
Tuvalu,Onshore wind energy,,,,,
Tuvalu,Pumped storage,,,,,
Tuvalu,Renewable hydropower,,,,,
Tuvalu,Solar thermal energy,,,,,
Türkiye,Concentrated solar power,,,,,
Türkiye,Marine energy,,,,,
Türkiye,Nuclear,,,,,
Türkiye,Offgrid solar photovoltaic,,,,6.2,533
Türkiye,Offshore wind energy,,,,,
Türkiye,Ongrid solar photovoltaic,,,6.37,,
Türkiye,Onshore wind energy,,,,44.37,169.18
Türkiye,Pumped storage,,,,,
Türkiye,Renewable hydropower,,8.94,,,66.74
Türkiye,Solar thermal energy,,,,,
Uganda,Concentrated solar power,,,,,
Uganda,Marine energy,,,,,
Uganda,Nuclear,,,,,
Uganda,Offgrid solar photovoltaic,0.23,11.99,0.09,528.27,3.4
Uganda,Offshore wind energy,,,,,
Uganda,Ongrid solar photovoltaic,3.61,0.5,0.01,0.82,0.19
Uganda,Onshore wind energy,,,,,
Uganda,Pumped storage,,,,,
Uganda,Renewable hydropower,74.83,0.49,0.49,10.64,225.51
Uganda,Solar thermal energy,,,,,
Ukraine,Concentrated solar power,,,,,
Ukraine,Marine energy,,,,,
Ukraine,Nuclear,7.86,7.87,6.02,0.61,36.06
Ukraine,Offgrid solar photovoltaic,,,,,0.09
Ukraine,Offshore wind energy,,,,,
Ukraine,Ongrid solar photovoltaic,37.46,,102.43,0.49,4.44
Ukraine,Onshore wind energy,165.48,,,,0.72
Ukraine,Pumped storage,,,,,
Ukraine,Renewable hydropower,,,85.84,,
Ukraine,Solar thermal energy,,,,,0.09
United Arab Emirates (the),Concentrated solar power,,,,,
United Arab Emirates (the),Marine energy,,,,,
United Arab Emirates (the),Nuclear,,,,,
United Arab Emirates (the),Offgrid solar photovoltaic,,,,300.25,
United Arab Emirates (the),Offshore wind energy,,,,,
United Arab Emirates (the),Ongrid solar photovoltaic,,,,,
United Arab Emirates (the),Onshore wind energy,,,,,
United Arab Emirates (the),Pumped storage,,,,,
United Arab Emirates (the),Renewable hydropower,,,,,
United Arab Emirates (the),Solar thermal energy,,,,,
United Kingdom of Great Britain and Northern Ireland (the),Concentrated solar power,,,,,
United Kingdom of Great Britain and Northern Ireland (the),Marine energy,,,,,
United Kingdom of Great Britain and Northern Ireland (the),Nuclear,,,,,
United Kingdom of Great Britain and Northern Ireland (the),Offgrid solar photovoltaic,,,,,332.5
United Kingdom of Great Britain and Northern Ireland (the),Offshore wind energy,,,632.4,,
United Kingdom of Great Britain and Northern Ireland (the),Ongrid solar photovoltaic,,,,,
United Kingdom of Great Britain and Northern Ireland (the),Onshore wind energy,,,,,
United Kingdom of Great Britain and Northern Ireland (the),Pumped storage,,,,,
United Kingdom of Great Britain and Northern Ireland (the),Renewable hydropower,,,,,
United Kingdom of Great Britain and Northern Ireland (the),Solar thermal energy,,,,,
United Republic of Tanzania (the),Concentrated solar power,,,,,
United Republic of Tanzania (the),Marine energy,,,,,
United Republic of Tanzania (the),Nuclear,,,,,
United Republic of Tanzania (the),Offgrid solar photovoltaic,,0.01,0.04,0.04,288.07
United Republic of Tanzania (the),Offshore wind energy,,,,,
United Republic of Tanzania (the),Ongrid solar photovoltaic,0.56,1.66,202.03,,0.85
United Republic of Tanzania (the),Onshore wind energy,0.39,1.11,,,
United Republic of Tanzania (the),Pumped storage,,,,,
United Republic of Tanzania (the),Renewable hydropower,0.76,,118.51,,263.73
United Republic of Tanzania (the),Solar thermal energy,,,,,0.02
United States of America (the),Concentrated solar power,,,,,
United States of America (the),Marine energy,,,,,
United States of America (the),Nuclear,,,,,
United States of America (the),Offgrid solar photovoltaic,,,,,
United States of America (the),Offshore wind energy,,,,,
United States of America (the),Ongrid solar photovoltaic,,,,,
United States of America (the),Onshore wind energy,,,,,
United States of America (the),Pumped storage,,,,,
United States of America (the),Renewable hydropower,,,,,
United States of America (the),Solar thermal energy,,,,,
Uruguay,Concentrated solar power,,,,,
Uruguay,Marine energy,,,,,
Uruguay,Nuclear,,,,,
Uruguay,Offgrid solar photovoltaic,,,,,
Uruguay,Offshore wind energy,,,,,
Uruguay,Ongrid solar photovoltaic,,,,,
Uruguay,Onshore wind energy,,,,,
Uruguay,Pumped storage,,,,,
Uruguay,Renewable hydropower,,,,,
Uruguay,Solar thermal energy,,,,,
Uzbekistan,Concentrated solar power,,,,,
Uzbekistan,Marine energy,,,,,
Uzbekistan,Nuclear,0,0.24,,,
Uzbekistan,Offgrid solar photovoltaic,,,,,381.59
Uzbekistan,Offshore wind energy,,,,,
Uzbekistan,Ongrid solar photovoltaic,0.02,31.1,71.8,,569.39
Uzbekistan,Onshore wind energy,,,,582.39,245.64
Uzbekistan,Pumped storage,,,,,
Uzbekistan,Renewable hydropower,29.19,123.23,0.05,,
Uzbekistan,Solar thermal energy,,,,135.85,
Vanuatu,Concentrated solar power,,,,,
Vanuatu,Marine energy,,,,,
Vanuatu,Nuclear,,,,,
Vanuatu,Offgrid solar photovoltaic,0.79,0.06,,0.01,0.02
Vanuatu,Offshore wind energy,,,,,
Vanuatu,Ongrid solar photovoltaic,0,,,,0.1
Vanuatu,Onshore wind energy,,,,,
Vanuatu,Pumped storage,,,,,
Vanuatu,Renewable hydropower,0.05,,0.5,30.06,4.35
Vanuatu,Solar thermal energy,,,,,
Venezuela (Bolivarian Republic of),Concentrated solar power,,,,,
Venezuela (Bolivarian Republic of),Marine energy,,,,,
Venezuela (Bolivarian Republic of),Nuclear,,,,,
Venezuela (Bolivarian Republic of),Offgrid solar photovoltaic,,,,,
Venezuela (Bolivarian Republic of),Offshore wind energy,,,,,
Venezuela (Bolivarian Republic of),Ongrid solar photovoltaic,,,,,
Venezuela (Bolivarian Republic of),Onshore wind energy,,,,,
Venezuela (Bolivarian Republic of),Pumped storage,,,,,
Venezuela (Bolivarian Republic of),Renewable hydropower,,,0.03,,
Venezuela (Bolivarian Republic of),Solar thermal energy,,,,,
Viet Nam,Concentrated solar power,,,,,
Viet Nam,Marine energy,,,,,
Viet Nam,Nuclear,0.02,,,,
Viet Nam,Offgrid solar photovoltaic,,,,0.07,0
Viet Nam,Offshore wind energy,,,,,
Viet Nam,Ongrid solar photovoltaic,45.98,46.26,128.01,105.14,26.79
Viet Nam,Onshore wind energy,,10.43,85.74,25,
Viet Nam,Pumped storage,,,,,
Viet Nam,Renewable hydropower,0,55.43,202.73,,
Viet Nam,Solar thermal energy,,,,,
Yemen,Concentrated solar power,,,,,
Yemen,Marine energy,,,,,
Yemen,Nuclear,,,,,
Yemen,Offgrid solar photovoltaic,,1.1,,130,
Yemen,Offshore wind energy,,,,,
Yemen,Ongrid solar photovoltaic,1.27,,,,
Yemen,Onshore wind energy,,,,,
Yemen,Pumped storage,,,,,
Yemen,Renewable hydropower,,,,,
Yemen,Solar thermal energy,,,,,
Zambia,Concentrated solar power,,,,,
Zambia,Marine energy,,,,,
Zambia,Nuclear,,,,,
Zambia,Offgrid solar photovoltaic,,0.25,0.72,5.66,2.31
Zambia,Offshore wind energy,,,,,
Zambia,Ongrid solar photovoltaic,11.63,0.51,0.05,5.61,19.17
Zambia,Onshore wind energy,,,,,
Zambia,Pumped storage,,,,,
Zambia,Renewable hydropower,46.63,12.52,,15.77,0.33
Zambia,Solar thermal energy,,,,,
Zimbabwe,Concentrated solar power,,,,,
Zimbabwe,Marine energy,,,,,
Zimbabwe,Nuclear,,,,,
Zimbabwe,Offgrid solar photovoltaic,0.24,0.03,,,0.78
Zimbabwe,Offshore wind energy,,,,,
Zimbabwe,Ongrid solar photovoltaic,0.03,,,0.02,0.09
Zimbabwe,Onshore wind energy,,,,,
Zimbabwe,Pumped storage,,,,,
Zimbabwe,Renewable hydropower,,,0,0.16,0.16
Zimbabwe,Solar thermal energy,,,,,0.15
