"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Cuba","Electricity - total solar production","2022","Kilowatt-hours, million","214",""
"Cuba","Electricity - total solar production","2021","Kilowatt-hours, million","196.1","1"
"Cuba","Electricity - total solar production","2020","Kilowatt-hours, million","192.992","1"
"Cuba","Electricity - total solar production","2019","Kilowatt-hours, million","185.5","1"
"Curaçao","Electricity - total solar production","2022","Kilowatt-hours, million","27.267",""
"Curaçao","Electricity - total solar production","2021","Kilowatt-hours, million","27.267",""
"Curaçao","Electricity - total solar production","2020","Kilowatt-hours, million","27.267",""
"Curaçao","Electricity - total solar production","2019","Kilowatt-hours, million","24.945",""
"Cyprus","Electricity - total solar production","2022","Kilowatt-hours, million","601.859",""
"Cyprus","Electricity - total solar production","2021","Kilowatt-hours, million","468.338",""
"Cyprus","Electricity - total solar production","2020","Kilowatt-hours, million","295.608",""
"Cyprus","Electricity - total solar production","2019","Kilowatt-hours, million","218.267",""
"Czechia","Electricity - total solar production","2022","Kilowatt-hours, million","2626.272",""
"Czechia","Electricity - total solar production","2021","Kilowatt-hours, million","2249.863",""
"Czechia","Electricity - total solar production","2020","Kilowatt-hours, million","2294.363",""
"Czechia","Electricity - total solar production","2019","Kilowatt-hours, million","2316.154",""
"Dem. Rep. of the Congo","Electricity - total solar production","2022","Kilowatt-hours, million","2.09",""
"Dem. Rep. of the Congo","Electricity - total solar production","2021","Kilowatt-hours, million","1.034",""
"Dem. Rep. of the Congo","Electricity - total solar production","2020","Kilowatt-hours, million","0.253",""
"Dem. Rep. of the Congo","Electricity - total solar production","2019","Kilowatt-hours, million","0.253","1"
"Denmark","Electricity - total solar production","2022","Kilowatt-hours, million","2202.567",""
"Denmark","Electricity - total solar production","2021","Kilowatt-hours, million","1308.929",""
"Denmark","Electricity - total solar production","2020","Kilowatt-hours, million","1180.532",""
"Denmark","Electricity - total solar production","2019","Kilowatt-hours, million","963.269",""
"Djibouti","Electricity - total solar production","2023","Kilowatt-hours, million","0.6","1"
"Djibouti","Electricity - total solar production","2022","Kilowatt-hours, million","0.6","1"
"Djibouti","Electricity - total solar production","2021","Kilowatt-hours, million","0.6",""
"Djibouti","Electricity - total solar production","2020","Kilowatt-hours, million","0.6",""
"Djibouti","Electricity - total solar production","2019","Kilowatt-hours, million","0.6",""
"Dominica","Electricity - total solar production","2023","Kilowatt-hours, million","0.4","1"
"Dominica","Electricity - total solar production","2022","Kilowatt-hours, million","0.38","1"
"Dominica","Electricity - total solar production","2021","Kilowatt-hours, million","0.36",""
"Dominica","Electricity - total solar production","2020","Kilowatt-hours, million","0.178",""
"Dominica","Electricity - total solar production","2019","Kilowatt-hours, million","0.178","1"
"Dominican Republic","Electricity - total solar production","2022","Kilowatt-hours, million","646.165",""
"Dominican Republic","Electricity - total solar production","2021","Kilowatt-hours, million","449.046",""
"Dominican Republic","Electricity - total solar production","2020","Kilowatt-hours, million","323.044",""
"Dominican Republic","Electricity - total solar production","2019","Kilowatt-hours, million","288.835",""
"Ecuador","Electricity - total solar production","2023","Kilowatt-hours, million","42.57",""
"Ecuador","Electricity - total solar production","2022","Kilowatt-hours, million","38.5",""
"Ecuador","Electricity - total solar production","2021","Kilowatt-hours, million","36.87",""
"Ecuador","Electricity - total solar production","2020","Kilowatt-hours, million","37.76",""
"Ecuador","Electricity - total solar production","2019","Kilowatt-hours, million","37.62",""
"Egypt","Electricity - total solar production","2022","Kilowatt-hours, million","4753",""
"Egypt","Electricity - total solar production","2021","Kilowatt-hours, million","4945",""
"Egypt","Electricity - total solar production","2020","Kilowatt-hours, million","4430.2",""
"Egypt","Electricity - total solar production","2019","Kilowatt-hours, million","1470.909",""
"El Salvador","Electricity - total solar production","2023","Kilowatt-hours, million","1194.104",""
"El Salvador","Electricity - total solar production","2022","Kilowatt-hours, million","1122.07",""
"El Salvador","Electricity - total solar production","2021","Kilowatt-hours, million","1073.20203",""
"El Salvador","Electricity - total solar production","2020","Kilowatt-hours, million","898.66046",""
"El Salvador","Electricity - total solar production","2019","Kilowatt-hours, million","488.11764",""
"Eritrea","Electricity - total solar production","2022","Kilowatt-hours, million","9.387",""
"Eritrea","Electricity - total solar production","2021","Kilowatt-hours, million","9.516",""
"Eritrea","Electricity - total solar production","2020","Kilowatt-hours, million","9.812",""
"Eritrea","Electricity - total solar production","2019","Kilowatt-hours, million","9.823",""
"Estonia","Electricity - total solar production","2022","Kilowatt-hours, million","596",""
"Estonia","Electricity - total solar production","2021","Kilowatt-hours, million","353.67",""
"Estonia","Electricity - total solar production","2020","Kilowatt-hours, million","245.132",""
"Estonia","Electricity - total solar production","2019","Kilowatt-hours, million","73.5",""
"Eswatini","Electricity - total solar production","2023","Kilowatt-hours, million","26.4",""
"Eswatini","Electricity - total solar production","2022","Kilowatt-hours, million","25.239",""
"Eswatini","Electricity - total solar production","2021","Kilowatt-hours, million","13.405",""
"Eswatini","Electricity - total solar production","2020","Kilowatt-hours, million","0.399",""
"Eswatini","Electricity - total solar production","2019","Kilowatt-hours, million","2.347",""
"Ethiopia","Electricity - total solar production","2022","Kilowatt-hours, million","35.579",""
"Ethiopia","Electricity - total solar production","2021","Kilowatt-hours, million","33.9",""
"Ethiopia","Electricity - total solar production","2020","Kilowatt-hours, million","32.3",""
"Ethiopia","Electricity - total solar production","2019","Kilowatt-hours, million","19.754",""
"Faeroe Islands","Electricity - total solar production","2023","Kilowatt-hours, million","0.18",""
"Faeroe Islands","Electricity - total solar production","2022","Kilowatt-hours, million","0.171",""
"Faeroe Islands","Electricity - total solar production","2021","Kilowatt-hours, million","0.177",""
"Faeroe Islands","Electricity - total solar production","2020","Kilowatt-hours, million","0.169",""
"Falkland Is. (Malvinas)","Electricity - total solar production","2023","Kilowatt-hours, million","0.1","1"
"Falkland Is. (Malvinas)","Electricity - total solar production","2022","Kilowatt-hours, million","0.1","1"
"Falkland Is. (Malvinas)","Electricity - total solar production","2021","Kilowatt-hours, million","0.1","1"
"Falkland Is. (Malvinas)","Electricity - total solar production","2020","Kilowatt-hours, million","0.1","1"
"Falkland Is. (Malvinas)","Electricity - total solar production","2019","Kilowatt-hours, million","0.1","1"
"Fiji","Electricity - total solar production","2023","Kilowatt-hours, million","12","1"
"Fiji","Electricity - total solar production","2022","Kilowatt-hours, million","12","1"
"Fiji","Electricity - total solar production","2021","Kilowatt-hours, million","11.93",""
"Fiji","Electricity - total solar production","2020","Kilowatt-hours, million","12.6","1"
"Fiji","Electricity - total solar production","2019","Kilowatt-hours, million","12.57",""
"Finland","Electricity - total solar production","2022","Kilowatt-hours, million","392.342",""
"Finland","Electricity - total solar production","2021","Kilowatt-hours, million","297.518",""
"Finland","Electricity - total solar production","2020","Kilowatt-hours, million","218.471",""
"Finland","Electricity - total solar production","2019","Kilowatt-hours, million","147.182",""
"France","Electricity - total solar production","2022","Kilowatt-hours, million","19627.696",""
"France","Electricity - total solar production","2021","Kilowatt-hours, million","15356.91",""
"France","Electricity - total solar production","2020","Kilowatt-hours, million","13189.172",""
"France","Electricity - total solar production","2019","Kilowatt-hours, million","12165.282",""
"French Polynesia","Electricity - total solar production","2023","Kilowatt-hours, million","50.9","1"
"French Polynesia","Electricity - total solar production","2022","Kilowatt-hours, million","49.9",""
"French Polynesia","Electricity - total solar production","2021","Kilowatt-hours, million","47.35",""
"French Polynesia","Electricity - total solar production","2020","Kilowatt-hours, million","44.09",""
"French Polynesia","Electricity - total solar production","2019","Kilowatt-hours, million","42.5",""
"Gabon","Electricity - total solar production","2022","Kilowatt-hours, million","2.67",""
"Gabon","Electricity - total solar production","2021","Kilowatt-hours, million","1.92",""
"Gabon","Electricity - total solar production","2020","Kilowatt-hours, million","1.92",""
"Gabon","Electricity - total solar production","2019","Kilowatt-hours, million","1.92",""
"Gambia","Electricity - total solar production","2023","Kilowatt-hours, million","4.162","1"
"Gambia","Electricity - total solar production","2022","Kilowatt-hours, million","4.16","1"
"Gambia","Electricity - total solar production","2021","Kilowatt-hours, million","4.16",""
"Gambia","Electricity - total solar production","2020","Kilowatt-hours, million","4.27",""
"Gambia","Electricity - total solar production","2019","Kilowatt-hours, million","4.27",""
