country_code,country,continent,indicator,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
DZA,Algeria,Africa,renewable_hydropower_gen_gwh_on_grid,152,49.6,9,16.4,23.26,NA
DZA,Algeria,Africa,renewable_hydropower_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,renewable_hydropower_cap_mw_on_grid,228,208.6,128.9,128.9,128.9,128.9
DZA,Algeria,Africa,solar_pv_gen_gwh_off_grid,35,35,35,69,85,NA
DZA,Algeria,Africa,solar_pv_gen_gwh_on_grid,544.93,665,642,649,686.17,NA
DZA,Algeria,Africa,solar_pv_cap_mw_off_grid,19.54,19.54,19.54,38.84,47.85,47.85
DZA,Algeria,Africa,solar_pv_cap_mw_on_grid,322.2,322.2,322.2,386.96,388.95,388.95
DZA,Algeria,Africa,solar_thermal_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,solar_thermal_gen_gwh_on_grid,133.11,118.11,118.11,118.11,118.11,NA
DZA,Algeria,Africa,solar_thermal_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,solar_thermal_cap_mw_on_grid,25,25,25,25,25,25
DZA,Algeria,Africa,total_renewable_gen_gwh_off_grid,45,43,46,85,98.57,NA
DZA,Algeria,Africa,total_renewable_gen_gwh_on_grid,830.05,832.71,769.11,783.51,827.54,NA
DZA,Algeria,Africa,total_renewable_cap_mw_off_grid,29.54,29.54,29.54,48.84,57.85,57.85
DZA,Algeria,Africa,total_renewable_cap_mw_on_grid,575.2,555.8,476.1,540.86,542.85,542.85
DZA,Algeria,Africa,financing_concentrated_solar_power,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,financing_marine_energy,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,financing_nuclear,0.03,0.12,NA,NA,NA,NA
DZA,Algeria,Africa,financing_offgrid_solar_pv,NA,0,0,NA,NA,NA
DZA,Algeria,Africa,financing_offshore_wind,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,financing_ongrid_solar_pv,0.04,NA,NA,NA,0.03,NA
DZA,Algeria,Africa,financing_onshore_wind,NA,NA,0.09,NA,NA,NA
DZA,Algeria,Africa,financing_pumped_storage,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,financing_renewable_hydropower,NA,NA,NA,NA,NA,NA
DZA,Algeria,Africa,financing_solar_thermal_energy,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,renewable_elec_pct,4.27379925222893,3.87100430741329,3.8725406815218,NA,NA,NA
ASM,American Samoa,Oceania,renewable_prod_kwh,7430000,6830000,6830000,NA,NA,NA
ASM,American Samoa,Oceania,hydro_elec_pct,0,0,0,NA,NA,NA
ASM,American Samoa,Oceania,renewable_prod_pct,4.27379925222893,3.87100430741329,3.8725406815218,NA,NA,NA
ASM,American Samoa,Oceania,energy_invest_private_usd,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,energy_invest_ppp_usd,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,renewable_consump_pct,0.4,0.4,0.4,0.4,NA,NA
ASM,American Samoa,Oceania,GHG_emissions_total,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,mixed_hydro_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,mixed_hydro_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,mixed_hydro_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,mixed_hydro_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,nuclear_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,nuclear_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
