Country/area,Technology,Data Type,Grid connection,2019,2020,2021,2022,2023,2024
Andorra,Mixed Hydro Plants,Electricity Installed Capacity (MW),On-grid,,,,,,
Andorra,Nuclear,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Nuclear,Electricity Generation (GWh),On-grid,,,,,,
Andorra,Nuclear,Electricity Installed Capacity (MW),Off-grid,,,,,,
Andorra,Nuclear,Electricity Installed Capacity (MW),On-grid,,,,,,
Andorra,Offshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Offshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Andorra,Offshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Andorra,Offshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Andorra,Onshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Onshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Andorra,Onshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Andorra,Onshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Andorra,Other non-renewable energy,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Other non-renewable energy,Electricity Generation (GWh),On-grid,,,,,,
Andorra,Other non-renewable energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Andorra,Other non-renewable energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Andorra,Pumped storage,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Pumped storage,Electricity Generation (GWh),On-grid,,,,,,
Andorra,Pumped storage,Electricity Installed Capacity (MW),Off-grid,,,,,,
Andorra,Pumped storage,Electricity Installed Capacity (MW),On-grid,,,,,,
Andorra,Renewable hydropower,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Renewable hydropower,Electricity Generation (GWh),On-grid,136.62,121.4,78.83,67.2,69.93,
Andorra,Renewable hydropower,Electricity Installed Capacity (MW),Off-grid,,,,,,
Andorra,Renewable hydropower,Electricity Installed Capacity (MW),On-grid,46,46,46,46,46,46
Andorra,Solar photovoltaic,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Solar photovoltaic,Electricity Generation (GWh),On-grid,0.72,0.94,1.26,1.57,4.27,
Andorra,Solar photovoltaic,Electricity Installed Capacity (MW),Off-grid,,,,,,
Andorra,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,1.99,3.08,4.35,5.63,8.73,8.73
