country_code,country,continent,year,renewable_elec_pct,renewable_prod_kwh,renewable_prod_pct,renewable_consump_pct,hydro_elec_pct,total_renewable_cap_mw,total_renewable_gen_gwh,GHG_emissions_total,energy_invest_private_ppp_USD,total_solar_cap_mw,total_solar_gen_gwh,total_wind_cap_mw,total_wind_gen_gwh,total_hydro_cap_mw,total_hydro_gen_gwh,total_financing_solar_USD,total_financing_wind_USD,total_financing_hydro_USD,total_financing_other_USD,total_financing_renewables_USD
NGA,Nigeria,Africa,2022,NA,NA,NA,NA,24.2753527627588,2272.09,9501.99,695.5905,NA,140.24,207.13,0,0,2110.8,9235.349999999999,63.79,0,0,0,63.79
NGA,Nigeria,Africa,2023,NA,NA,NA,NA,NA,3063.27,9756.43,NA,116000000,181.42,267.96000000000004,0,0,2860.8,9426.41,786.48,0,0,0,786.48
NGA,Nigeria,Africa,2024,NA,NA,NA,NA,NA,3078.62,NA,NA,NA,196.76999999999998,0,0,0,2860.8,0,0,0,0,0,0
NIC,Nicaragua,North America,2019,57.1488850021863,2387990000,52.2079142982073,50.5,4.94097070397901,731.18,2608.26,31.563316,NA,16.36,25.619999999999997,186.2,730.17,157.17,226.27,0.17,0,0,0,0.17
NIC,Nicaragua,North America,2020,70.2186758111316,2087990000,55.077552097072,52.2,15.1411237140596,731.18,2653.8500000000004,31.464516,NA,16.36,23.66,186.2,549.94,157.17,573.61,0.25,0.11,0,0,0.36
NIC,Nicaragua,North America,2021,69.5093757417517,2329430000,55.2914787562307,50.4,14.217896985521,732.3199999999999,2922.53,32.079116,NA,16.29,27.27,186.2,655.83,158.38,598.14,0,0,0,0,0
NIC,Nicaragua,North America,2022,NA,NA,NA,NA,14.877546349279,745.81,2824.22,32.540116,NA,17.39,26.1,186.2,561.87,158.57,650.16,0.02,0,0,0,0.02
NIC,Nicaragua,North America,2023,NA,NA,NA,NA,NA,748.39,2840.31,NA,12500000,18.490000000000002,31.25,186.2,665.34,160.05,469.54,0,0,0.78,0,0.78
NIC,Nicaragua,North America,2024,NA,NA,NA,NA,NA,765.89,NA,NA,NA,35.99,0,186.2,0,160.05,0,0,0,0,0,0
NIU,Niue,Oceania,2019,NA,NA,NA,NA,NA,0.94,0.47,NA,NA,0.94,0.47,0,0,0,0,0,0,0,0,0
NIU,Niue,Oceania,2020,NA,NA,NA,NA,NA,0.94,0.47,NA,NA,0.94,0.47,0,0,0,0,0,0,0,0,0
NIU,Niue,Oceania,2021,NA,NA,NA,NA,NA,0.94,0.47,NA,NA,0.94,0.47,0,0,0,0,0,0,0,0,0
NIU,Niue,Oceania,2022,NA,NA,NA,NA,NA,0.94,0.47,NA,NA,0.94,0.47,0,0,0,0,0.03,0,0,0,0.03
NIU,Niue,Oceania,2023,NA,NA,NA,NA,NA,0.94,0.47,NA,NA,0.94,0.47,0,0,0,0,0.11,0,0,0,0.11
NIU,Niue,Oceania,2024,NA,NA,NA,NA,NA,1.82,NA,NA,NA,1.82,0,0,0,0,0,0,0,0,0,0
NLD,Netherlands,Europe,2019,18.7757863784995,22721870000,18.7148363822059,8.6,0.0609499962935813,12565.07,22803.19,191.259203678616,NA,7227.6,5399.41,4484.16,11507.93,37,74.18,0,0,0,0,0
NLD,Netherlands,Europe,2020,26.5575690715294,32693640000,26.5202550333393,10.7,0.0373140381901069,18654.59,32729.49,174.316152090424,NA,11110.02,8567.01,6647.88,15277.73,37,46.07,0,0,0,0,0
NLD,Netherlands,Europe,2021,33.148092028208,40383500000,33.076015824003,12.2,0.0720762042049913,23366.3,40433.03,178.703038676532,NA,14822.88,11303.87,7645.52,18123.36,37.7,88.24,0.17,550.11,0,0,550.28
NLD,Netherlands,Europe,2022,NA,NA,NA,NA,0.0402269126255039,26967.39,48092.5,165.151338676532,NA,17356.46,16656.81,8700.11,21565.97,37.7,50,0,12.79,0,0,12.79
NLD,Netherlands,Europe,2023,NA,NA,NA,NA,0.0560450338330682,32922.38,56779.42,NA,NA,21274.64,19578.19,10734.119999999999,29525.08,37.7,69.37,0,0,0,0,0
NLD,Netherlands,Europe,2024,NA,NA,NA,NA,NA,36641.18,NA,NA,NA,24048.44,0,11679.119999999999,0,37.7,0,0,0,0,0,0
NOR,Norway,Europe,2019,97.7822483803537,5885120000,4.36238566112701,59.8,93.4198627192267,35928.82,131189.06000000003,42.6478688499179,NA,137.12,122.04,2914,5524.51,32797,125289.33,0,0,44.94,0,44.94
NOR,Norway,Europe,2020,98.4304584554915,10289150000,6.62982054834241,60.9,91.8006379071491,37981.43,152055.06999999998,37.5168637192622,NA,142.73,97.86999999999999,4030,9912.53,33732,141804.76,0,0,193.73,0,193.73
NOR,Norway,Europe,2021,99.1038297387318,12138750000,7.68654778941503,61.4,91.4172819493168,39385.54,156074.61000000002,41.9546862437735,NA,184.39,124.91,5049,11769.18,34075,143965.22,0,0,0,0,0
NOR,Norway,Europe,2022,NA,NA,NA,NA,88.1660192189736,39748.94,143476.73,41.2944862437735,NA,340.79,188.84,5062,14809.86,34269,128239.82,0,0,51.19,0,51.19
NOR,Norway,Europe,2023,NA,NA,NA,NA,89.0764006352732,40071.79,151301.76,NA,NA,633.79,373.59000000000003,5064,13965.09,34291,136713.81,0,0,0,0,0
NOR,Norway,Europe,2024,NA,NA,NA,NA,NA,40715.47,NA,NA,NA,782.4699999999999,0,5152,0,34698,0,0,0,0,0,0
NPL,Nepal,Asia,2019,93.3275721506604,-325220000,-5.3027881950106,78.2,98.630360345671,1220.8200000000002,5618.24,35.3845,647200000,54.51,83.78,0.2,0.35,1159.08,5520.86,0.41,0,340.71,0.01,341.13
NPL,Nepal,Asia,2020,NA,288650000,4.66467356173239,73.1,98.6425339366516,1351.79,6272.21,38.6264,NA,64.47,82.19,0.2,0.35,1280.69,6182.29,18.67,0,40.58,0,59.25
NPL,Nepal,Asia,2021,83.8289732189019,-1476900000,-15.2714300485989,73.7,99.1004032675008,2068.74,8010.2,39.1481,NA,90.09,86.2,0.2,0.35,1971.45,7913.360000000001,13.82,0,69.65,0,83.47
NPL,Nepal,Asia,2022,NA,NA,NA,NA,99.0272191562997,2315.74,10284.26,39.6168,858740000,111.21000000000001,105.53,0.2,0.35,2197.2200000000003,10167.72,7.14,0,14,0,21.14
NPL,Nepal,Asia,2023,NA,NA,NA,NA,NA,2799.0299999999997,11549.85,NA,NA,116.78999999999999,116.73,0.2,0.35,2674.93,11422.109999999999,0.63,0,14.9,0,15.530000000000001
NPL,Nepal,Asia,2024,NA,NA,NA,NA,NA,3475.34,NA,NA,NA,175.47,0,0.2,0,3292.56,0,0,0,0,0,0
NRU,Nauru,Oceania,2019,3.85956175298805,1550000,3.85956175298805,0.6,0,2.48,1.55,NA,NA,2.48,1.55,0,0,0,0,23.31,0,0,0,23.31
NRU,Nauru,Oceania,2020,6.69456066945607,2880000,6.69456066945607,1.3,0,2.48,2.8800000000000003,NA,NA,2.48,2.8800000000000003,0,0,0,0,0,0,0,0,0
